code_region,libelle_region,nb_eleves_lycees,nb_etablissements_lycees,nb_etablissements_proteges_lycees,surface_exploitable_max_lycees,potentiel_solaire_lycees,potentiel_nb_foyers_lycees,top_etablissements_lycees,nb_etablissements_par_niveau_potentiel_lycees,nb_eleves_total,nb_etablissements_total,nb_etablissements_proteges_total,surface_exploitable_max_total,potentiel_solaire_total,potentiel_nb_foyers_total,top_etablissements_total,nb_etablissements_par_niveau_potentiel_total,potentiel_solaire_primaires,potentiel_solaire_colleges
84,Auvergne-Rhône-Alpes,198564,343,118,1546195,416305964,83261,"[{""id"":""0260791U"",""libelle"":""Lycée horticole Terre d'horizon, pôle d'enseignement du végétal, du paysage et de l'environnement de la Drôme"",""type_etablissement"":""Lycée"",""potentiel_solaire"":7941755},{""id"":""0030026M"",""libelle"":""Lycée polyvalent Paul Constans"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4563130},{""id"":""0421078U"",""libelle"":""Lycée d'enseignement général, technologique et professionnel agricole de Roanne Chervé"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4254348}]","{""1_HIGH"":262,""2_GOOD"":14,""3_LIMITED"":67}",1157365,6339,1617,6237740,1672534930,334506,"[{""id"":""0260791U"",""libelle"":""Lycée horticole Terre d'horizon, pôle d'enseignement du végétal, du paysage et de l'environnement de la Drôme"",""type_etablissement"":""Lycée"",""potentiel_solaire"":7941755},{""id"":""0030026M"",""libelle"":""Lycée polyvalent Paul Constans"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4563130},{""id"":""0421078U"",""libelle"":""Lycée d'enseignement général, technologique et professionnel agricole de Roanne Chervé"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4254348}]","{""1_HIGH"":1330,""2_GOOD"":1333,""3_LIMITED"":3676}",882246267,373982699
32,Hauts-de-France,163175,273,82,1370727,324339437,64867,"[{""id"":""0020079A"",""libelle"":""Lycée professionnel Condorcet"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4025169},{""id"":""0590011S"",""libelle"":""Lycée polyvalent Gustave Eiffel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3983385},{""id"":""0620257T"",""libelle"":""Lycée professionnel Savary Ferry"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3883942}]","{""1_HIGH"":214,""2_GOOD"":7,""3_LIMITED"":52}",890641,5419,1429,5337703,1263109729,252621,"[{""id"":""0020079A"",""libelle"":""Lycée professionnel Condorcet"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4025169},{""id"":""0590011S"",""libelle"":""Lycée polyvalent Gustave Eiffel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3983385},{""id"":""0620257T"",""libelle"":""Lycée professionnel Savary Ferry"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3883942}]","{""1_HIGH"":915,""2_GOOD"":1041,""3_LIMITED"":3463}",622029722,316740570
93,Provence-Alpes-Côte d'Azur,139116,217,69,792168,256274352,51254,"[{""id"":""0061642C"",""libelle"":""Lycée international de Valbonne"",""type_etablissement"":""Lycée"",""potentiel_solaire"":5601279},{""id"":""0130053M"",""libelle"":""Lycée polyvalent Jean Perrin"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4282888},{""id"":""0130050J"",""libelle"":""Lycée polyvalent Denis Diderot"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3413313}]","{""3_LIMITED"":47,""1_HIGH"":164,""2_GOOD"":6}",776995,3456,1002,3555720,1153466682,230693,"[{""id"":""0061642C"",""libelle"":""Lycée international de Valbonne"",""type_etablissement"":""Lycée"",""potentiel_solaire"":5601279},{""id"":""0130053M"",""libelle"":""Lycée polyvalent Jean Perrin"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4282888},{""id"":""0130050J"",""libelle"":""Lycée polyvalent Denis Diderot"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3413313}]","{""1_HIGH"":1038,""2_GOOD"":829,""3_LIMITED"":1589}",604074321,293118009
44,Grand-Est,147443,309,105,1192799,293551410,58710,"[{""id"":""0671509B"",""libelle"":""Lycée polyvalent Heinrich Nessel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4547687},{""id"":""0100025Y"",""libelle"":""Lycée Polyvalent Les Lombards"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4267285},{""id"":""0672198A"",""libelle"":""Lycée polyvalent Le Corbusier"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3326256}]","{""1_HIGH"":201,""2_GOOD"":19,""3_LIMITED"":89}",805673,4936,1372,4605394,1135357030,227071,"[{""id"":""0671509B"",""libelle"":""Lycée polyvalent Heinrich Nessel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4547687},{""id"":""0100025Y"",""libelle"":""Lycée Polyvalent Les Lombards"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4267285},{""id"":""0672198A"",""libelle"":""Lycée polyvalent Le Corbusier"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3326256}]","{""1_HIGH"":792,""2_GOOD"":996,""3_LIMITED"":3148}",561017288,280788332
76,Occitanie,156072,319,80,1110907,325625068,65125,"[{""id"":""0110023R"",""libelle"":""Lycée polyvalent Louise Michel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":6393906},{""id"":""0310044E"",""libelle"":""Lycée polyvalent Déodat de Séverac"",""type_etablissement"":""Lycée"",""potentiel_solaire"":5437885},{""id"":""0110012D"",""libelle"":""Lycée polyvalent Germaine Tillion"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4811826}]","{""1_HIGH"":190,""2_GOOD"":11,""3_LIMITED"":118}",845466,4980,1605,4610495,1355280339,271056,"[{""id"":""0110023R"",""libelle"":""Lycée polyvalent Louise Michel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":6393906},{""id"":""0310044E"",""libelle"":""Lycée polyvalent Déodat de Séverac"",""type_etablissement"":""Lycée"",""potentiel_solaire"":5437885},{""id"":""0110012D"",""libelle"":""Lycée polyvalent Germaine Tillion"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4811826}]","{""1_HIGH"":1077,""2_GOOD"":1040,""3_LIMITED"":2863}",708380392,321274879
28,Normandie,85534,186,51,779644,186758132,37351,"[{""id"":""0142133T"",""libelle"":""Lycée Laplace - Dumont d'Urville"",""type_etablissement"":""Lycée"",""potentiel_solaire"":5176069},{""id"":""0760058A"",""libelle"":""Lycée Schuman-Perret"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4359184},{""id"":""0762964J"",""libelle"":""Lycée Le Corbusier"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3490268}]","{""1_HIGH"":125,""2_GOOD"":1,""3_LIMITED"":60}",475527,2809,818,3036198,727217413,145443,"[{""id"":""0142133T"",""libelle"":""Lycée Laplace - Dumont d'Urville"",""type_etablissement"":""Lycée"",""potentiel_solaire"":5176069},{""id"":""0760058A"",""libelle"":""Lycée Schuman-Perret"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4359184},{""id"":""0762964J"",""libelle"":""Lycée Le Corbusier"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3490268}]","{""1_HIGH"":598,""2_GOOD"":646,""3_LIMITED"":1565}",367381648,173077633
75,Nouvelle Aquitaine,148394,331,96,1383804,374746481,74949,"[{""id"":""0171157R"",""libelle"":""École d'enseignement technique de l'armée de l'air et de l'espace de Saintes"",""type_etablissement"":""Lycée"",""potentiel_solaire"":6888325},{""id"":""0870581J"",""libelle"":""Lycée agricole Les Vaseix"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4470985},{""id"":""0332870R"",""libelle"":""Lycée polyvalent de la mer"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3788321}]","{""1_HIGH"":236,""2_GOOD"":17,""3_LIMITED"":78}",808587,5263,1900,5082916,1380344752,276068,"[{""id"":""0171157R"",""libelle"":""École d'enseignement technique de l'armée de l'air et de l'espace de Saintes"",""type_etablissement"":""Lycée"",""potentiel_solaire"":6888325},{""id"":""0870581J"",""libelle"":""Lycée agricole Les Vaseix"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4470985},{""id"":""0332870R"",""libelle"":""Lycée polyvalent de la mer"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3788321}]","{""1_HIGH"":1032,""2_GOOD"":1138,""3_LIMITED"":3093}",699781101,305817170
24,Centre-Val de Loire,67810,139,40,560247,144215016,28843,"[{""id"":""0450094H"",""libelle"":""Lycée d'enseignement général et technologique agricole le Chesnoy"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3790883},{""id"":""0410001D"",""libelle"":""Lycée polyvalent international Robert Badinter"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3479926},{""id"":""0280044W"",""libelle"":""Lycée polyvalent Jehan de Beauce"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3470972}]","{""1_HIGH"":91,""2_GOOD"":3,""3_LIMITED"":45}",380875,2343,863,2356494,606498860,121299,"[{""id"":""0450094H"",""libelle"":""Lycée d'enseignement général et technologique agricole le Chesnoy"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3790883},{""id"":""0410001D"",""libelle"":""Lycée polyvalent international Robert Badinter"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3479926},{""id"":""0280044W"",""libelle"":""Lycée polyvalent Jehan de Beauce"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3470972}]","{""1_HIGH"":488,""2_GOOD"":490,""3_LIMITED"":1365}",314653322,147630522
27,Bourgogne-Franche-Comté,70043,149,56,632152,161207680,32241,"[{""id"":""0710048S"",""libelle"":""Lycée polyvalent René Cassin"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4477037},{""id"":""0251994G"",""libelle"":""Lycée polyvalent Germaine Tillion"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4091910},{""id"":""0390013C"",""libelle"":""Lycée polyvalent Jacques Duhamel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3183149}]","{""1_HIGH"":105,""2_GOOD"":9,""3_LIMITED"":35}",390646,2974,1015,2421443,616266771,123253,"[{""id"":""0710048S"",""libelle"":""Lycée polyvalent René Cassin"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4477037},{""id"":""0251994G"",""libelle"":""Lycée polyvalent Germaine Tillion"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4091910},{""id"":""0390013C"",""libelle"":""Lycée polyvalent Jacques Duhamel"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3183149}]","{""1_HIGH"":390,""2_GOOD"":542,""3_LIMITED"":2042}",305092550,149966541
53,Bretagne,64092,135,34,569735,139363325,27872,"[{""id"":""0350028R"",""libelle"":""Lycée Bréquigny"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4734956},{""id"":""0290007A"",""libelle"":""Lycée La Pérouse - Kerichen"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4033758},{""id"":""0350030T"",""libelle"":""Lycée polyvalent Pierre Mendès France"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3839390}]","{""1_HIGH"":94,""2_GOOD"":3,""3_LIMITED"":38}",339237,1823,627,2280465,557221634,111444,"[{""id"":""0350028R"",""libelle"":""Lycée Bréquigny"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4734956},{""id"":""0290007A"",""libelle"":""Lycée La Pérouse - Kerichen"",""type_etablissement"":""Lycée"",""potentiel_solaire"":4033758},{""id"":""0350030T"",""libelle"":""Lycée polyvalent Pierre Mendès France"",""type_etablissement"":""Lycée"",""potentiel_solaire"":3839390}]","{""1_HIGH"":479,""2_GOOD"":494,""3_LIMITED"":850}",292553197,125305112
