Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,422723,-,-,-,48.85,2.34,0,49,1,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,30,0.8,0,0,0,0,0.8,0,0,0,0,100,153.87,0.11,1025,0.9,154,1.4000000000000001
2020,1,1,1,30,0.9,0,0,0,0,0.8,0,0,0,0,99.41,149.62,0.11,1024,0.9,157,1.6
2020,1,1,2,30,1.1,0,0,0,0,1,0,0,0,0,99.24000000000001,142.09,0.11,1024,0.9,164,1.6
2020,1,1,3,30,1.2000000000000002,0,0,0,0,1.1,0,0,0,0,99.4,132.97,0.11,1024,1,173,1.6
2020,1,1,4,30,1.3,0,0,0,0,1.2000000000000002,0,0,0,0,99.34,123.22,0.11,1024,1,178,1.6
2020,1,1,5,30,1.4000000000000001,0,0,0,0,1.2000000000000002,0,0,0,0,98.88,113.38,0.11,1024,1,174,1.6
2020,1,1,6,30,1.4000000000000001,0,0,0,0,1.2000000000000002,0,0,0,0,98.35000000000001,103.82000000000001,0.11,1024,1.1,167,1.7000000000000002
2020,1,1,7,30,1.3,0,0,0,7,1,0,0,0,0,98.19,94.86,0.11,1024,1.1,162,1.9000000000000001
2020,1,1,8,30,1.6,23,180,34,7,1.1,7,0,7,7,96.38,86.61,0.11,1025,1.1,159,2.4000000000000004
2020,1,1,9,30,2,55,437,131,4,1.3,29,0,7,29,95.13,80.05,0.11,1025,1.2000000000000002,158,2.7
2020,1,1,10,30,2.6,72,566,217,1,1.7000000000000002,72,566,0,217,93.91,75.13,0.11,1025,1.3,160,2.7
2020,1,1,11,30,3.4000000000000004,78,626,268,0,2.3000000000000003,78,626,0,268,92.8,72.35000000000001,0.11,1024,1.4000000000000001,166,2.6
2020,1,1,12,30,4.1000000000000005,79,631,275,1,3,79,631,0,275,92.66,71.97,0.11,1023,1.5,170,2.6
2020,1,1,13,30,4.6000000000000005,74,589,236,1,3.6,74,589,0,236,92.95,74.05,0.11,1023,1.6,168,2.4000000000000004
2020,1,1,14,30,4.4,60,487,159,1,3.8000000000000003,60,487,0,159,96.2,78.37,0.11,1023,1.6,160,2
2020,1,1,15,30,3.8000000000000003,35,260,60,4,3.7,7,0,7,7,99.38,84.51,0.11,1022,1.7000000000000002,152,1.6
2020,1,1,16,30,3.5,0,0,0,4,3.5,0,0,0,0,100,92.33,0.11,1022,1.8,151,2
2020,1,1,17,30,3.6,0,0,0,5,3.6,0,0,0,0,99.87,101.04,0.11,1023,1.8,154,2.1
2020,1,1,18,30,3.5,0,0,0,4,3.5,0,0,0,0,100,110.45,0.11,1023,1.8,155,2.1
2020,1,1,19,30,3.5,0,0,0,4,3.5,0,0,0,0,99.69,120.24000000000001,0.11,1023,1.8,155,2.1
2020,1,1,20,30,3.4000000000000004,0,0,0,4,3.3000000000000003,0,0,0,0,99.58,130.05,0.11,1022,1.8,155,2.2
2020,1,1,21,30,3.4000000000000004,0,0,0,4,3.3000000000000003,0,0,0,0,99.06,139.43,0.11,1022,1.8,156,2.2
2020,1,1,22,30,3.3000000000000003,0,0,0,4,3.2,0,0,0,0,99.43,147.57,0.11,1022,1.8,158,2.2
2020,1,1,23,30,3.2,0,0,0,4,3.2,0,0,0,0,99.95,153,0.11,1021,1.7000000000000002,161,2.1
2020,1,2,0,30,3.3000000000000003,0,0,0,4,3.2,0,0,0,0,99.5,153.8,0.11,1020,1.7000000000000002,164,2
2020,1,2,1,30,3.4000000000000004,0,0,0,4,3.4000000000000004,0,0,0,0,99.73,149.6,0.11,1020,1.7000000000000002,168,1.8
2020,1,2,2,30,3.4000000000000004,0,0,0,4,3.4000000000000004,0,0,1,0,100,142.09,0.11,1020,1.7000000000000002,174,1.6
2020,1,2,3,30,3.5,0,0,0,4,3.5,0,0,0,0,100,132.98,0.11,1020,1.6,181,1.5
2020,1,2,4,30,3.6,0,0,0,4,3.6,0,0,0,0,100,123.24000000000001,0.11,1020,1.6,189,1.3
2020,1,2,5,30,3.7,0,0,0,4,3.7,0,0,0,0,100,113.4,0.11,1020,1.5,199,1.2000000000000002
2020,1,2,6,30,3.8000000000000003,0,0,0,1,3.8000000000000003,0,0,0,0,100,103.84,0.11,1020,1.5,207,1.1
2020,1,2,7,30,4.1000000000000005,0,0,0,1,4.1000000000000005,0,0,0,0,100,94.87,0.11,1020,1.4000000000000001,209,1.3
2020,1,2,8,30,4.6000000000000005,22,229,35,0,4.3,22,229,0,35,98.12,86.60000000000001,0.11,1020,1.4000000000000001,208,1.9000000000000001
2020,1,2,9,30,4.9,48,505,135,3,4.4,21,0,7,21,96.82000000000001,80.02,0.11,1020,1.4000000000000001,205,2.5
2020,1,2,10,30,5.2,62,633,225,4,4.6000000000000005,11,0,0,11,95.98,75.08,0.11,1020,1.3,201,2.8000000000000003
2020,1,2,11,30,5.5,68,686,277,4,4.9,11,0,0,11,95.75,72.28,0.11,1019,1.3,200,3.1
2020,1,2,12,30,5.800000000000001,71,682,283,4,5.2,43,0,0,43,95.7,71.88,0.11,1018,1.3,200,3.2
2020,1,2,13,30,6.1000000000000005,68,632,243,4,5.5,15,0,0,15,95.96000000000001,73.95,0.11,1018,1.4000000000000001,202,3.4000000000000004
2020,1,2,14,30,6.300000000000001,58,512,162,4,5.800000000000001,6,0,0,6,96.47,78.25,0.11,1017,1.5,203,3.4000000000000004
2020,1,2,15,30,6.300000000000001,36,263,61,4,6,6,0,7,6,97.7,84.38,0.11,1017,1.6,201,3.3000000000000003
2020,1,2,16,30,6.5,0,0,0,4,6.2,0,0,0,0,98.06,92.2,0.11,1017,1.7000000000000002,198,3.5
2020,1,2,17,30,6.9,0,0,0,4,6.6000000000000005,0,0,0,0,97.87,100.91,0.11,1017,1.6,199,3.9000000000000004
2020,1,2,18,30,7,0,0,0,4,6.800000000000001,0,0,1,0,98.53,110.32000000000001,0.11,1017,1.5,201,4.1000000000000005
2020,1,2,19,30,6.9,0,0,0,5,6.7,0,0,0,0,98.78,120.10000000000001,0.11,1016,1.4000000000000001,201,4.1000000000000005
2020,1,2,20,30,6.800000000000001,0,0,0,4,6.5,0,0,0,0,98,129.91,0.11,1016,1.4000000000000001,202,4.2
2020,1,2,21,30,6.800000000000001,0,0,0,4,6.300000000000001,0,0,0,0,96.84,139.29,0.11,1017,1.4000000000000001,205,4.3
2020,1,2,22,30,6.7,0,0,0,8,6.2,0,0,0,0,96.51,147.43,0.11,1016,1.3,208,4.4
2020,1,2,23,30,6.7,0,0,0,7,6,0,0,0,0,95.39,152.88,0.11,1016,1.2000000000000002,209,4.5
2020,1,3,0,30,6.4,0,0,0,4,5.800000000000001,0,0,0,0,95.81,153.73,0.11,1016,1.2000000000000002,207,4.4
2020,1,3,1,30,6,0,0,0,7,5.5,0,0,0,0,96.45,149.57,0.11,1015,1.2000000000000002,203,4.3
2020,1,3,2,30,5.7,0,0,0,7,5.300000000000001,0,0,0,0,96.98,142.09,0.11,1015,1.2000000000000002,203,4.5
2020,1,3,3,30,5.6000000000000005,0,0,0,8,5.2,0,0,0,0,97.21000000000001,132.99,0.11,1015,1.3,204,4.7
2020,1,3,4,30,5.800000000000001,0,0,0,8,5.300000000000001,0,0,0,0,96.51,123.25,0.11,1014,1.5,205,4.800000000000001
2020,1,3,5,30,6.1000000000000005,0,0,0,4,5.5,0,0,0,0,96.14,113.41,0.11,1014,1.7000000000000002,211,5.1000000000000005
2020,1,3,6,30,6.6000000000000005,0,0,0,4,6,0,0,0,0,95.71000000000001,103.84,0.11,1014,1.8,218,5.5
2020,1,3,7,30,7.2,0,0,0,1,6.5,0,0,1,0,95.56,94.86,0.11,1015,1.7000000000000002,225,5.6000000000000005
2020,1,3,8,30,8.1,24,188,35,3,7.300000000000001,16,0,7,16,94.56,86.59,0.11,1015,1.5,232,5.300000000000001
2020,1,3,9,30,9.3,49,501,136,2,8.1,11,0,1,11,92.24,79.99,0.11,1016,1.4000000000000001,235,5
2020,1,3,10,30,10.5,57,661,228,0,8.9,57,661,0,228,89.63,75.03,0.11,1016,1.4000000000000001,239,5.2
2020,1,3,11,30,11.3,62,717,281,3,8.6,67,0,0,67,83.61,72.2,0.11,1016,1.5,248,5.800000000000001
2020,1,3,12,30,11.4,64,716,287,4,8.1,59,0,0,59,80.2,71.78,0.11,1016,1.6,252,5.9
2020,1,3,13,30,10.8,63,660,247,3,8,55,0,0,55,82.89,73.83,0.11,1016,1.7000000000000002,252,5.300000000000001
2020,1,3,14,30,10.100000000000001,55,547,167,2,8.200000000000001,17,0,7,17,87.9,78.13,0.11,1016,1.8,252,4.6000000000000005
2020,1,3,15,30,9.5,35,301,66,3,8.3,9,0,7,9,92.18,84.25,0.11,1017,1.8,258,4.2
2020,1,3,16,30,9.200000000000001,0,0,0,3,8.4,0,0,0,0,94.53,92.06,0.11,1018,1.7000000000000002,278,4
2020,1,3,17,30,8.9,0,0,0,4,8.200000000000001,0,0,0,0,95.53,100.77,0.11,1020,1.6,310,3.9000000000000004
2020,1,3,18,30,7.7,0,0,0,4,7.2,0,0,0,0,96.72,110.17,0.11,1021,1.4000000000000001,335,3.9000000000000004
2020,1,3,19,30,5.9,0,0,0,4,5.6000000000000005,0,0,0,0,98,119.96000000000001,0.11,1022,1.1,341,3.3000000000000003
2020,1,3,20,30,4.2,0,0,0,4,4.2,0,0,0,0,100,129.77,0.11,1023,1,336,2.6
2020,1,3,21,30,3.2,0,0,0,8,3.2,0,0,0,0,100,139.15,0.11,1024,0.9,333,2.5
2020,1,3,22,30,2.6,0,0,0,8,2.6,0,0,0,0,100,147.3,0.11,1025,0.9,333,2.4000000000000004
2020,1,3,23,30,2,0,0,0,4,2,0,0,0,0,100,152.76,0.11,1025,1,334,2.1
2020,1,4,0,30,1.5,0,0,0,1,1.5,0,0,0,0,100,153.65,0.11,1025,1,331,1.8
2020,1,4,1,30,1.1,0,0,0,0,1.1,0,0,0,0,100,149.53,0.11,1026,1.1,326,1.4000000000000001
2020,1,4,2,30,0.8,0,0,0,7,0.8,0,0,0,0,100,142.08,0.11,1026,1.2000000000000002,321,1.3
2020,1,4,3,30,0.9,0,0,0,7,0.9,0,0,0,0,100,133,0.11,1027,1.3,313,1.2000000000000002
2020,1,4,4,30,1.1,0,0,0,7,1.1,0,0,0,0,100,123.26,0.11,1027,1.3,306,1.3
2020,1,4,5,30,0.7000000000000001,0,0,0,7,0.7000000000000001,0,0,0,0,100,113.42,0.11,1027,1.4000000000000001,300,1.3
2020,1,4,6,30,0.7000000000000001,0,0,0,4,0.7000000000000001,0,0,0,0,100,103.84,0.11,1028,1.4000000000000001,296,1.4000000000000001
2020,1,4,7,30,0.9,0,0,0,4,0.9,0,0,0,0,100,94.85000000000001,0.11,1028,1.3,292,1.5
2020,1,4,8,30,2.6,24,198,36,1,2.2,24,198,0,36,97.08,86.56,0.11,1029,1.3,285,2
2020,1,4,9,30,4.800000000000001,51,493,137,7,3.1,21,0,7,21,88.78,79.94,0.11,1029,1.2000000000000002,277,3
2020,1,4,10,30,6.4,65,628,228,1,4,65,628,0,228,84.45,74.96000000000001,0.11,1029,1.1,272,3.1
2020,1,4,11,30,8.1,73,683,283,0,4.4,73,683,0,283,77.68,72.11,0.11,1028,1,284,3.7
2020,1,4,12,30,8.9,73,695,291,7,4.3,128,19,0,134,73.08,71.68,0.11,1028,1,294,4.2
2020,1,4,13,30,8.700000000000001,70,650,253,4,4.4,37,0,0,37,74.34,73.71000000000001,0.11,1028,1,293,3.8000000000000003
2020,1,4,14,30,7.7,59,544,172,4,4.9,6,0,0,6,82.26,77.99,0.11,1028,1.1,291,2.8000000000000003
2020,1,4,15,30,6.5,37,318,70,4,5.2,6,0,7,6,91.29,84.11,0.11,1028,1.2000000000000002,291,2.2
2020,1,4,16,30,6.1000000000000005,0,0,0,5,5.2,0,0,0,0,93.67,91.91,0.11,1028,1.2000000000000002,295,2.2
2020,1,4,17,30,5.9,0,0,0,4,5.300000000000001,0,0,0,0,95.78,100.62,0.11,1029,1.2000000000000002,299,2.3000000000000003
2020,1,4,18,30,5.6000000000000005,0,0,0,4,5.300000000000001,0,0,0,0,97.97,110.03,0.11,1029,1.3,301,2
2020,1,4,19,30,5,0,0,0,4,5,0,0,0,0,100,119.81,0.11,1029,1.3,300,1.7000000000000002
2020,1,4,20,30,4.6000000000000005,0,0,0,4,4.6000000000000005,0,0,0,0,100,129.63,0.11,1029,1.4000000000000001,297,1.5
2020,1,4,21,30,4.3,0,0,0,4,4.3,0,0,0,0,100,139,0.11,1029,1.4000000000000001,298,1.4000000000000001
2020,1,4,22,30,4.2,0,0,0,4,4.2,0,0,0,0,100,147.16,0.11,1029,1.3,304,1.4000000000000001
2020,1,4,23,30,4.1000000000000005,0,0,0,4,4.1000000000000005,0,0,0,0,100,152.64000000000001,0.11,1029,1.2000000000000002,313,1.3
2020,1,5,0,30,4,0,0,0,4,4,0,0,0,0,100,153.56,0.11,1029,1.2000000000000002,318,1.1
2020,1,5,1,30,4.1000000000000005,0,0,0,4,4.1000000000000005,0,0,0,0,99.96000000000001,149.48,0.11,1030,1.1,315,1
2020,1,5,2,30,4.1000000000000005,0,0,0,7,4,0,0,0,0,99.28,142.06,0.11,1030,1.1,305,0.9
2020,1,5,3,30,4,0,0,0,4,3.9000000000000004,0,0,0,0,99.48,132.99,0.11,1030,1,291,0.8
2020,1,5,4,30,3.9000000000000004,0,0,0,4,3.9000000000000004,0,0,0,0,99.66,123.26,0.11,1030,1,277,0.8
2020,1,5,5,30,3.8000000000000003,0,0,0,4,3.8000000000000003,0,0,0,0,99.78,113.42,0.11,1030,0.9,264,0.9
2020,1,5,6,30,3.6,0,0,0,4,3.6,0,0,0,0,100,103.83,0.11,1030,0.9,251,1
2020,1,5,7,30,3.5,0,0,0,4,3.4000000000000004,0,0,0,0,99.44,94.83,0.11,1030,0.9,238,1
2020,1,5,8,30,3.8000000000000003,23,236,37,4,3.4000000000000004,8,0,7,8,97.07000000000001,86.53,0.11,1030,0.9,228,1.1
2020,1,5,9,30,4.5,53,486,139,4,3.6,5,0,0,5,94.10000000000001,79.89,0.11,1030,0.9,222,1.4000000000000001
2020,1,5,10,30,5.5,69,616,229,4,4.1000000000000005,8,0,0,8,90.64,74.89,0.11,1030,0.9,221,1.3
2020,1,5,11,30,7,73,686,285,4,4.3,27,0,0,27,82.9,72.02,0.11,1029,0.9,234,1
2020,1,5,12,30,7.9,74,694,294,4,4.2,19,0,0,19,77.5,71.57000000000001,0.11,1028,0.9,254,0.9
2020,1,5,13,30,8.3,69,661,256,4,3.9000000000000004,9,0,0,9,74.06,73.58,0.11,1028,0.9,271,0.6000000000000001
2020,1,5,14,30,8,56,577,178,4,4.4,6,0,0,6,78.29,77.85000000000001,0.11,1028,0.9,251,0.30000000000000004
2020,1,5,15,30,7,35,374,74,4,4,10,0,7,10,80.96000000000001,83.97,0.11,1028,0.9,163,0.30000000000000004
2020,1,5,16,30,6,0,0,0,4,3,0,0,0,0,81.23,91.76,0.11,1028,0.9,142,0.6000000000000001
2020,1,5,17,30,4.800000000000001,0,0,0,4,2.6,0,0,0,0,85.59,100.47,0.11,1027,0.8,143,0.9
2020,1,5,18,30,3.5,0,0,0,4,2,0,0,0,0,90.14,109.88,0.11,1027,0.8,146,1.1
2020,1,5,19,30,2.1,0,0,0,4,1.6,0,0,0,0,96.49000000000001,119.66,0.11,1027,0.8,150,1.3
2020,1,5,20,30,1.1,0,0,0,4,1.1,0,0,0,0,100,129.47,0.11,1027,0.8,155,1.4000000000000001
2020,1,5,21,30,0.30000000000000004,0,0,0,4,0.30000000000000004,0,0,0,0,100,138.85,0.11,1026,0.7000000000000001,160,1.5
2020,1,5,22,30,-0.30000000000000004,0,0,0,0,-0.30000000000000004,0,0,0,0,100,147.01,0.11,1026,0.7000000000000001,163,1.5
2020,1,5,23,30,-0.9,0,0,0,0,-0.9,0,0,1,0,100,152.51,0.11,1025,0.7000000000000001,164,1.4000000000000001
2020,1,6,0,30,-1,0,0,0,0,-1,0,0,0,0,100,153.46,0.11,1025,0.7000000000000001,162,1.3
2020,1,6,1,30,-0.4,0,0,0,0,-0.4,0,0,0,0,100,149.43,0.11,1024,0.7000000000000001,159,1.5
2020,1,6,2,30,0.30000000000000004,0,0,0,0,0.30000000000000004,0,0,0,0,100,142.04,0.11,1024,0.7000000000000001,153,2.2
2020,1,6,3,30,0.5,0,0,0,0,0.1,0,0,0,0,97.44,132.98,0.11,1023,0.7000000000000001,146,2.6
2020,1,6,4,30,0.5,0,0,0,0,0.1,0,0,0,0,96.92,123.26,0.11,1023,0.7000000000000001,141,2.7
