name,annual_energy_kwh
BATIMENT0000000246489004,12646.918864700452
BATIMENT0000000246489005,16444.76485516523
BATIMENT0000000246489005,16444.76485516523
BATIMENT0000000246488967,10760.733480294855
BATIMENT0000000246492704,2619.8717586669845
BATIMENT0000000246492663,72243.65158040049
BATIMENT0000000246492662,11973.354014864644
BATIMENT0000000246492664,16303.122628242905
BATIMENT0000000246492666,58775.41158353529
BATIMENT0000000246492667,61177.21544445143
BATIMENT0000000246492688,116375.90596041124
BATIMENT0000000246492702,225106.18850774431
BATIMENT0000000246492703,217128.3681897963
BATIMENT0000000246492682,32864.054493302065
BATIMENT0000000246493115,12539.922935275792
BATIMENT0000000246493111,87266.89908684052
BATIMENT0000000246493173,198080.03573615022
BATIMENT0000000246492716,166414.3356423478
BATIMENT0000000246493271,50045.562747893426
BATIMENT0000000246492714,58157.89221812638
BATIMENT0000000246492713,57581.133208359635
BATIMENT0000000246492712,88272.66082601735
BATIMENT0000000246493174,29209.888741123483
BATIMENT0000000246493109,15323.855117743218
BATIMENT0000000246493299,22189.936761686546
BATIMENT0000000246492184,632316.391947171
BATIMENT0000000246492187,10880.976526595636
BATIMENT0000000246492188,13176.803466637532
BATIMENT0000000246492189,21317.665185083857
BATIMENT0000000246491550,39700.584878794754
BATIMENT0000000246491551,52487.107957628774
BATIMENT0000000246491916,166876.9656713819
BATIMENT0000000246491538,54124.655186573764
BATIMENT0000000246491539,49620.63605781648
BATIMENT0000000353684113,191849.81559962363
BATIMENT0000002012607070,644512.9088903193
BATIMENT0000002323651319,826036.0888038876
BATIMENT0000000353684065,71275.59317255674
BATIMENT0000000353684062,92734.90058503978
BATIMENT0000000353684061,421639.3688015429
BATIMENT0000000353684067,38532.80074078548
BATIMENT0000000246491734,7741.410248599343
BATIMENT0000000353684064,77322.39169434413
BATIMENT0000000353684063,48639.330532847314
BATIMENT0000000246491542,17372.062910008717
BATIMENT0000000246491548,6760.104725836661
BATIMENT0000000246176313,645.9941273193544
BATIMENT0000002206299141,652793.374820785
BATIMENT0000000246176498,18278.980790365633
BATIMENT0000000246176502,16147.21427288327
BATIMENT0000000246176538,1959.5540229622407
BATIMENT0000000246176545,7832.102037780386
BATIMENT0000000246175479,67193.44371064767
BATIMENT0000000246175481,5796.122352794344
BATIMENT0000000246175480,209794.5614927363
BATIMENT0000000246175483,55438.15758654178
BATIMENT0000000246175482,11646.252170478194
BATIMENT0000000246175484,183274.85611235208
BATIMENT0000000246176330,58451.36676899461
BATIMENT0000000246176315,953.6103784273334
BATIMENT0000000246176325,21150.547732267987
BATIMENT0000000246176314,11268.199888410956
BATIMENT0000000318254994,21916.84238668675
BATIMENT0000000246179005,19248.058209408922
BATIMENT0000000246178997,188772.40887202197
BATIMENT0000000246178997,188772.40887202197
BATIMENT0000000246178999,53128.06452676643
BATIMENT0000000246178999,53128.06452676643
BATIMENT0000000246178996,25434.460952500114
BATIMENT0000000246179033,798.7768646361623
BATIMENT0000000356501079,494612.6307478548
BATIMENT0000000356501077,2668.784184808375
BATIMENT0000000356501078,171859.91894194492
BATIMENT0000000246179006,88710.83463665291
BATIMENT0000000246179004,3247.5812124610356
BATIMENT0000000246179011,3046.836467980063
BATIMENT0000000246179009,2328.4352273443196
BATIMENT0000000246179000,528384.6220844102
BATIMENT0000000246179000,528384.6220844102
BATIMENT0000000246179000,528384.6220844102
BATIMENT0000000246179002,2791.065245443424
BATIMENT0000000246179001,10406.1183963865
BATIMENT0000000246176094,269285.31728658243
BATIMENT0000000246176095,14671.689451245651
BATIMENT0000000246174869,225407.81510607252
BATIMENT0000000246174808,1976.8771729045047
BATIMENT0000000246176662,265851.25744314305
BATIMENT0000000246176663,49382.18798910365
BATIMENT0000000246176664,337805.5105234925
BATIMENT0000000356501154,99644.79961830156
BATIMENT0000000318254540,26252.725055761086
BATIMENT0000000245950177,2462.9443956490964
BATIMENT0000000245950178,2429.3171032840473
BATIMENT0000000245950179,783.3960526980316
BATIMENT0000000245950180,949899.6717759406
BATIMENT0000000245949024,326890.9067107094
BATIMENT0000000245949026,15714.135509331983
BATIMENT0000000245949027,7110.643768844614
BATIMENT0000000245949170,64279.07839160723
BATIMENT0000000245949171,5400.7469168855205
BATIMENT0000000356501577,13766.809589942039
BATIMENT0000000246182594,44419.61487562301
BATIMENT0000000246182595,39778.029554375
BATIMENT0000002100649941,755290.3802186676
BATIMENT0000000246182596,25691.251179983235
BATIMENT0000000246182171,13159.480321071445
BATIMENT0000000246182172,29967.012320551246
BATIMENT0000000246182177,42187.98549299814
BATIMENT0000000246182178,6692.850141436314
BATIMENT0000000246182173,333944.48598139745
BATIMENT0000000246182176,5366.1006164647815
BATIMENT0000000246182174,8224.42044376636
BATIMENT0000000246182186,86265.21338930396
BATIMENT0000000246182248,4252.3239394314705
BATIMENT0000000246182258,29381.082231475306
BATIMENT0000000246181779,116813.0607589839
BATIMENT0000000246181790,13436.650724807412
BATIMENT0000000246181791,5248.914597983662
BATIMENT0000000246181776,37057.27591611347
BATIMENT0000000246181789,1651.8133482025175
BATIMENT0000000246181778,73832.28638428941
BATIMENT0000000246181780,18056.83686054879
BATIMENT0000000246181781,7864.710321426635
BATIMENT0000000246181777,16831.98821787625
BATIMENT0000000246181798,10387.776238827475
BATIMENT0000000246181559,11782.799357017762
BATIMENT0000000246183478,136739.77886136476
BATIMENT0000000245949573,39132.99694870277
BATIMENT0000000245949551,77485.43311455548
BATIMENT0000000245949550,108011.88130561692
BATIMENT0000000245949522,133819.29949146547
BATIMENT0000000312884799,12590.873378004244
BATIMENT0000000312884079,50040.46770291254
BATIMENT0000000312884790,9453.345122664123
BATIMENT0000000312884080,10987.972452269187
BATIMENT0000000312884081,6295.436686337741
BATIMENT0000000312884083,126441.67539789702
BATIMENT0000000312884118,10634.376381154549
BATIMENT0000000313020624,664591.4593069777
BATIMENT0000000313021212,26013.257974084965
BATIMENT0000000313020636,3361.7102023763914
BATIMENT0000000313020632,3183.383655036862
BATIMENT0000000313020635,24619.253868427386
BATIMENT0000000313020633,40141.81571431013
BATIMENT0000000313021183,15905.709173622357
BATIMENT0000000313023615,53630.43588739165
BATIMENT0000000356502089,21147.490710890954
BATIMENT0000002323651545,36100.426608104215
BATIMENT0000002323651546,26407.614401700874
BATIMENT0000000313020981,35106.89297524214
BATIMENT0000000313021236,29639.91048386365
BATIMENT0000000313020991,321431.05728999333
BATIMENT0000000313020786,2621.9097773003778
BATIMENT0000000313024036,36142.2059694759
BATIMENT0000000313020623,189284.9703155796
BATIMENT0000000313023266,193376.29085736052
BATIMENT0000000313023260,40281.4199299196
BATIMENT0000000313023256,47569.371239464526
BATIMENT0000000313023259,212379.78694321087
BATIMENT0000000313023262,226768.19195850304
BATIMENT0000000313023264,94696.49262427085
BATIMENT0000000313024265,51491.536308349474
BATIMENT0000000313024288,137543.77684579822
BATIMENT0000000313024289,5758.4190237865205
BATIMENT0000000246450680,702944.9144855274
BATIMENT0000000246450681,14962.10697720905
BATIMENT0000000246450683,4708.839905343482
BATIMENT0000000246450682,1525.4562518274306
BATIMENT0000000246450649,78018.37475130869
BATIMENT0000000246450654,21089.407204853327
BATIMENT0000000246450650,238268.72585189898
BATIMENT0000000246450656,3202.7448219197045
BATIMENT0000000246450651,167355.8998181015
BATIMENT0000000246450652,21879.13905362419
BATIMENT0000000246450655,6660.241851897814
BATIMENT0000000245143781,188118.20518534686
BATIMENT0000000245143862,43585.0466286403
BATIMENT0000000245143778,256279.70730689072
BATIMENT0000000245143778,256279.70730689072
BATIMENT0000000245143777,54216.36597778757
BATIMENT0000000245143776,8465.925543744961
BATIMENT0000000245150624,614138.2930428637
BATIMENT0000000245150625,18293.2469141241
BATIMENT0000000245150626,6285.2466015387945
BATIMENT0000000245150627,4563.121639960928
BATIMENT0000000245150629,8138.823700024011
BATIMENT0000000245150630,4336.901675544016
BATIMENT0000000245153254,28474.164355513672
BATIMENT0000000245153253,8193.850180288548
BATIMENT0000000245150628,2792.0842552120903
BATIMENT0000000245153353,163870.88955108298
BATIMENT0000000245153255,24249.353658963686
BATIMENT0000000245153256,11916.289518469803
BATIMENT0000000245153346,197633.70983945217
BATIMENT0000000245153358,10665.965658326417
BATIMENT0000000312885254,67337.12395773496
BATIMENT0000000312887798,59704.747659866305
BATIMENT0000000312888119,309.6670264113095
BATIMENT0000000312888120,21212.707274056505
BATIMENT0000000312885285,18870.005926055688
BATIMENT0000000312886161,228925.43367902227
BATIMENT0000000312884898,249742.7654933993
BATIMENT0000000312886411,171804.89248154507
BATIMENT0000000312887793,115502.615385639
BATIMENT0000000312888121,22031.990392913154
BATIMENT0000000312887724,79963.66264539932
BATIMENT0000000312887717,15005.92435611452
BATIMENT0000000312889157,26304.694510897796
BATIMENT0000000312886694,86132.74223570261
BATIMENT0000000312886693,25742.201623489917
BATIMENT0000000312886695,13538.55160915044
BATIMENT0000000229479738,20066.322315919184
BATIMENT0000000356502173,60066.495791282825
BATIMENT0000000356502174,10673.098717043651
BATIMENT0000000312886623,58404.492356520735
BATIMENT0000000312886622,957.711929007732
BATIMENT0000000312886624,1224.8486413723333
BATIMENT0000000312886625,5801.217393652852
BATIMENT0000000312887490,7608.939097516292
BATIMENT0000000312887491,88472.38654739827
BATIMENT0000000312887492,2091.0061653869902
BATIMENT0000000312888132,3762.18068100023
BATIMENT0000000312888133,224469.30797187414
BATIMENT0000000244417589,472144.50453064847
BATIMENT0000000244417600,19828.893253227565
BATIMENT0000000244417601,24370.615706476434
BATIMENT0000000244417590,2391.6137768670233
BATIMENT0000000244417592,2353.910448253014
BATIMENT0000000244417593,1118.8717196047885
BATIMENT0000000245152781,352040.0451965121
BATIMENT0000000245152782,8286.579986265453
BATIMENT0000000245152784,7998.200479944935
BATIMENT0000000245152785,9476.782325590651
BATIMENT0000000245152783,15312.646016468387
BATIMENT0000000245152787,7002.628830741509
BATIMENT0000000245143414,93005.95694571774
BATIMENT0000000245143411,59520.30705188862
BATIMENT0000000245143413,2941.878554957423
BATIMENT0000000245143412,5100.139306078113
BATIMENT0000000245143393,20880.51038748529
BATIMENT0000000245144752,28099.169101174597
BATIMENT0000000245144753,12729.458578521024
BATIMENT0000000245144755,130365.87848773373
BATIMENT0000000245144757,37781.79120814503
BATIMENT0000000245144758,25250.02034831259
BATIMENT0000000245144760,43133.62570299136
BATIMENT0000000245144759,209312.57030124697
BATIMENT0000000312881532,199432.26046596124
BATIMENT0000000312881501,91387.7709003864
BATIMENT0000000312881502,32938.44212900898
BATIMENT0000000312881563,79310.47797508474
BATIMENT0000000312881562,2282.579827836245
BATIMENT0000000312881472,8837.863775935932
BATIMENT0000000312881536,17296.656255491336
BATIMENT0000000312881537,15704.96442831698
BATIMENT0000000312881533,29029.52417763462
BATIMENT0000000312881535,12043.665622454488
BATIMENT0000000312881511,4327.730595288175
BATIMENT0000000312881514,18499.08670216717
BATIMENT0000000002701500,22898.14791809399
BATIMENT0000000312881541,7667.0226044663395
BATIMENT0000000312881527,16434.574764358946
BATIMENT0000000312881526,13039.237270595058
BATIMENT0000000353685006,106232.69184625725
BATIMENT0000000353685002,28579.12226904518
BATIMENT0000002200498880,14549.408397103101
BATIMENT0000002206298627,17948.82192196869
BATIMENT0000000246228300,767931.1850281795
BATIMENT0000000246228299,3025.437282699893
BATIMENT0000000246228303,2076.7400397908905
BATIMENT0000000246228298,11112.291535522372
BATIMENT0000000246228348,273399.05601991154
BATIMENT0000000318257413,340371.37481490645
BATIMENT0000000353683021,83476.18615896018
BATIMENT0000000246228340,71316.3535246057
BATIMENT0000000246228297,4419.441391855829
BATIMENT0000002206300430,29324.017737818514
BATIMENT0000000002672755,253855.48524723697
BATIMENT0000000002672763,786327.3518545163
BATIMENT0000002202620426,20646.138352903883
BATIMENT0000000245746555,102057.81257693759
BATIMENT0000000245746545,94645.54218855864
BATIMENT0000000245746633,36904.42458983673
BATIMENT0000000245746636,68677.12060024937
BATIMENT0000000245746647,38562.35199131065
BATIMENT0000000245746646,3016.2662012387946
BATIMENT0000000245746620,20803.065715097313
BATIMENT0000000245746644,2408.9369258709467
BATIMENT0000000245746566,329142.9162573397
BATIMENT0000002323651404,72569.73441208825
BATIMENT0000000245746548,161813.5106733271
BATIMENT0000000245746553,144547.42469423258
BATIMENT0000000245746549,1377490.052301946
BATIMENT0000000245746559,13234.886971474796
BATIMENT0000000318256681,47595.865469435084
BATIMENT0000000318256682,61585.83798440536
BATIMENT0000000353683423,33562.07555731245
BATIMENT0000000245586824,209008.90565990642
BATIMENT0000000245586972,191503.35259220898
BATIMENT0000002323651405,224095.3317212867
BATIMENT0000000245749690,332113.32706977794
BATIMENT0000000245749506,29105.9498426064
BATIMENT0000000245749505,24812.865549052167
BATIMENT0000000245749746,294182.7605690113
BATIMENT0000000318256702,56181.01504234648
BATIMENT0000000245586825,41533.78180644946
BATIMENT0000000245586826,1918.7936677077928
BATIMENT0000000245586974,43244.697671165544
BATIMENT0000000353684571,265078.84874963725
BATIMENT0000000002665597,1666811.121612179
BATIMENT0000000353684616,21810.865471941965
BATIMENT0000000353684617,81394.351082884
BATIMENT0000000353684618,119202.63651828746
BATIMENT0000000353684619,228893.84440668652
BATIMENT0000000353684620,191184.40281842175
BATIMENT0000000353684621,437526.73579790676
BATIMENT0000002206300355,219955.0987603879
BATIMENT0000000245586977,275684.6928719633
BATIMENT0000002206299842,806990.8133530432
BATIMENT0000002323651197,75379.14181855453
BATIMENT0000002323651200,62070.88620851703
BATIMENT0000002323651203,50279.93478315951
BATIMENT0000002008343563,700559.4148017066
BATIMENT0000000318257211,101863.18188209416
BATIMENT0000000246477503,13582.36898680671
BATIMENT0000000246477505,29151.80524606001
BATIMENT0000000245589417,35197.58476755254
BATIMENT0000000245589424,1269.685029561267
BATIMENT0000000245589425,26842.73118376217
BATIMENT0000000245589419,18150.585675218303
BATIMENT0000000246477631,146872.80288403356
BATIMENT0000000246477632,769275.2577184541
BATIMENT0000000353684688,19522.171591952985
BATIMENT0000000245750630,170865.36627246367
BATIMENT0000000245751316,15757.95288684953
BATIMENT0000000318256715,147703.29509851124
BATIMENT0000000245751329,75255.84176704483
BATIMENT0000000245751978,52032.63003118974
BATIMENT0000000245751980,10734.239251017327
BATIMENT0000000245750636,323345.7749064498
BATIMENT0000000245750635,2364.100536630971
BATIMENT0000000318256714,28335.579151846094
BATIMENT0000000245752271,87680.61667970664
BATIMENT0000000245751981,57610.68446199279
BATIMENT0000000245751982,17095.911513097035
BATIMENT0000000245751973,18236.18241745401
BATIMENT0000000245751972,33338.912612854896
BATIMENT0000000245751965,23111.12076892783
BATIMENT0000000245751976,21938.24158044059
BATIMENT0000000245751975,11140.82378149016
BATIMENT0000000245751977,11215.21142629341
BATIMENT0000000245751974,737.2536149832513
BATIMENT0000000245751979,783.3960525858247
BATIMENT0000000245751996,292359.7537406033
BATIMENT0000000245751983,24039.43782980329
BATIMENT0000000245751984,22730.01146053565
BATIMENT0000000245751997,130876.40192503031
BATIMENT0000000245752028,52299.61032718659
BATIMENT0000000243617488,8428.22221650821
BATIMENT0000000318257234,47930.100368594045
BATIMENT0000002202742517,599467.6225825474
BATIMENT0000000243617472,33746.51615689251
BATIMENT0000000243617476,3604.2343101330803
BATIMENT0000000243617474,2280.5418120606096
BATIMENT0000000243617475,3529.846664594318
BATIMENT0000000243617464,3442.2119023656956
BATIMENT0000000243617466,15090.502090751304
BATIMENT0000000243617465,22167.51856965798
BATIMENT0000000243617468,2275.446767516343
BATIMENT0000000243617471,1928.9837566800636
BATIMENT0000000243617418,6466.630173820015
BATIMENT0000000243617469,897.2140659303552
BATIMENT0000000243617470,2295.826942465526
BATIMENT0000000243617473,3902.8039030544605
BATIMENT0000000243617477,3411.641637185565
BATIMENT0000000243616824,30415.376214329473
BATIMENT0000000243616831,15109.86326232353
BATIMENT0000000243616832,167222.40966646778
BATIMENT0000000229476405,59466.29958476172
BATIMENT0000000243617805,48740.21240370025
BATIMENT0000000243617793,20973.24019497352
BATIMENT0000000243617440,701940.1717741058
BATIMENT0000000243617443,2398.7468380707187
BATIMENT0000000243617446,22017.72426836813
BATIMENT0000000243616432,8582.092556238103
BATIMENT0000000243617445,1812.816748149105
BATIMENT0000000243617439,2362.0625199300252
BATIMENT0000000243617438,1491.8289590009072
BATIMENT0000000243617447,3898.7278672384978
BATIMENT0000000243617448,19823.798209701057
BATIMENT0000000243616889,18082.312085437377
BATIMENT0000000243617386,11116.367568053516
BATIMENT0000000243617387,1508.1331004592514
BATIMENT0000000243617365,1078.111364826038
BATIMENT0000000243617366,29196.64162810175
BATIMENT0000000002665095,14745.058089585218
BATIMENT0000000243617367,4903.470597225679
BATIMENT0000000229475254,10726.087173574937
BATIMENT0000002200498989,4143.289994168326
BATIMENT0000000002664891,466355.515243898
BATIMENT0000000243628235,58885.46453481256
BATIMENT0000000243628300,58533.906486017986
BATIMENT0000000243628237,42079.97055018992
BATIMENT0000000318257263,29237.401988458318
BATIMENT0000000243632115,159683.78217628374
BATIMENT0000000243632158,13925.77497235255
BATIMENT0000000243632159,16597.616180004065
BATIMENT0000000229475318,18458.32634922833
BATIMENT0000000243631601,83178.6355724707
BATIMENT0000000243631601,83178.6355724707
BATIMENT0000000243631602,254984.5470555405
BATIMENT0000000243631600,45891.063659408974
BATIMENT0000000243631566,65593.59981816205
BATIMENT0000000243631498,268710.59628084727
BATIMENT0000000243631497,1032.2559672504196
BATIMENT0000000243632182,10976.763350505584
BATIMENT0000000243632183,7615.053156296752
BATIMENT0000000002659141,294503.7483560157
BATIMENT0000000243625635,17918.251659012938
BATIMENT0000000002654422,215734.3640930842
BATIMENT0000000002656915,29106.968854810522
BATIMENT0000000002659437,980273.2686507602
BATIMENT0000000002656907,55580.81881462765
BATIMENT0000000243618239,332194.8477922723
BATIMENT0000000229484284,30386.84396863679
BATIMENT0000000002651525,1175235.1372878633
BATIMENT0000000245104384,17568.731621759252
BATIMENT0000000245104379,12691.755254376922
BATIMENT0000000245107190,25960.269516424334
BATIMENT0000000245107229,149379.564657704
BATIMENT0000000245104394,15637.709850687907
BATIMENT0000000245104395,11467.925623666553
BATIMENT0000000245104396,9684.660133076117
BATIMENT0000000245104392,347500.3607510992
BATIMENT0000000245104391,13312.331645568669
BATIMENT0000000245104401,18362.53951796568
BATIMENT0000000245106711,165417.7449854102
BATIMENT0000000245107325,155328.53833180547
BATIMENT0000000245107328,199345.64472411346
BATIMENT0000000245107329,46532.02022056397
BATIMENT0000000245107999,113934.36074824278
BATIMENT0000000245105989,111856.60170401419
BATIMENT0000000245105998,130713.36050748648
BATIMENT0000000245106010,50178.03389791116
BATIMENT0000000245106048,6260.790385647708
BATIMENT0000000245106073,13648.604566201277
BATIMENT0000000245106710,149314.34809383447
BATIMENT0000000245589411,28714.650447371394
BATIMENT0000000353684693,278591.9251447784
BATIMENT0000000245588725,21288.11393162857
BATIMENT0000000245588726,179396.50842800862
BATIMENT0000000245588727,52917.12969443525
BATIMENT0000000245588729,11071.531180430457
BATIMENT0000000245588730,24276.86689364794
BATIMENT0000000245588731,18414.508964833934
BATIMENT0000000245588732,22637.28164918026
BATIMENT0000000245588734,229833.37055690642
BATIMENT0000000245588737,20941.650917744777
BATIMENT0000000353684696,333880.2884244497
BATIMENT0000000245589145,441833.0672245825
BATIMENT0000000245589147,78659.33131681262
BATIMENT0000000245589150,1273.7610624340696
BATIMENT0000000245589149,43452.575472617624
BATIMENT0000000245589054,6144.623377343317
BATIMENT0000000245589151,90257.69006698085
BATIMENT0000000245589161,21556.113259241698
BATIMENT0000000245589148,83055.33549567615
BATIMENT0000000245589153,13893.166690416958
BATIMENT0000000245589157,12132.319394320104
BATIMENT0000000245589163,1453.106623690701
BATIMENT0000000245589164,29274.086303906115
BATIMENT0000000245589165,369.1395018041926
BATIMENT0000000245589167,11522.952099149155
BATIMENT0000000245589168,8461.849507536292
BATIMENT0000000245589169,8722.715775003953
BATIMENT0000000245589170,9799.808130977115
BATIMENT0000000245588438,63018.56444640129
BATIMENT0000000245588440,13204.316703792836
BATIMENT0000002202247137,16336.749921514254
BATIMENT0000000245589257,403995.23050711787
BATIMENT0000000245589256,38137.42530333321
BATIMENT0000000245589258,27821.998690013792
BATIMENT0000000318256745,42568.07579445791
BATIMENT0000000245589146,33973.75513310417
BATIMENT0000000243625379,180940.306831703
BATIMENT0000000243621828,798183.5198447222
BATIMENT0000000243621829,2589.301493023047
BATIMENT0000000243621831,628.5625400504346
BATIMENT0000000243621827,2637.194907511948
BATIMENT0000000243621830,3455.459017623721
BATIMENT0000000243632126,26144.710123278775
BATIMENT0000000243631496,522026.0068401755
BATIMENT0000000243632184,90101.78170880143
BATIMENT0000000243632886,18001.81037994724
BATIMENT0000000243632878,408150.74860442686
BATIMENT0000000243632878,408150.74860442686
BATIMENT0000000243632877,87571.58273618315
BATIMENT0000000243632877,87571.58273618315
BATIMENT0000000243632880,1543.798410641536
BATIMENT0000000243632876,1601.8819154254275
BATIMENT0000002323651402,819230.1286588955
BATIMENT0000000002647095,87552.22156831651
BATIMENT0000000002647089,41078.28484684109
BATIMENT0000000245591201,167344.69073643396
BATIMENT0000000245591203,12011.057337371676
