name,annual_energy_kwh
BATIMENT0000000229474428,79582.55332701544
BATIMENT0000000243403398,441992.0325852527
BATIMENT0000000243403396,63776.70703381003
BATIMENT0000000243403407,117883.02005143644
BATIMENT0000000243403628,23021.447985425097
BATIMENT0000000245742917,16745.372465301243
BATIMENT0000002206299791,592004.401745295
BATIMENT0000000246490272,303532.1667767614
BATIMENT0000000246490273,24231.011490838373
BATIMENT0000000246490279,20549.332510456232
BATIMENT0000000246490280,15582.683364144368
BATIMENT0000000246490275,48463.0419991383
BATIMENT0000000246490274,176565.70182815823
BATIMENT0000000246490356,6802.903095962775
BATIMENT0000000246490849,599710.1466841081
BATIMENT0000000246490845,560861.4532159129
BATIMENT0000000246490848,87929.25484514088
BATIMENT0000000243399191,92396.58965158933
BATIMENT0000000243399217,4738.391161480923
BATIMENT0000000243399207,1137.2138787391914
BATIMENT0000000243399206,23892.70055669236
BATIMENT0000000243399208,1785.303508527532
BATIMENT0000000243399203,12327.969091920988
BATIMENT0000000243399973,171315.76822647962
BATIMENT0000000243399188,1918.7936681668868
BATIMENT0000000243399190,4708.839905142992
BATIMENT0000000243399187,63436.35807544456
BATIMENT0000000243399972,6123.2241934902495
BATIMENT0000000243399189,46144.79686233948
BATIMENT0000000243399216,48374.388228445016
BATIMENT0000000243399215,116759.05329002072
BATIMENT0000000243400186,13949.21217295046
BATIMENT0000000243399975,13859.539397932098
BATIMENT0000000243400209,9676.508060329046
BATIMENT0000000243399982,4770.999446849646
BATIMENT0000000243399194,15709.040464040365
BATIMENT0000000243399195,4398.042206235218
BATIMENT0000000243399204,2317.226129044668
BATIMENT0000000243399418,4158.575124818826
BATIMENT0000000246488977,111242.13936223392
BATIMENT0000000246488984,147759.34059768164
BATIMENT0000000246488979,34887.80607377038
BATIMENT0000000246488988,20091.79753635922
BATIMENT0000000246488987,44702.899332100016
BATIMENT0000000246488986,6482.934319197803
BATIMENT0000000246488978,78616.53294719303
BATIMENT0000000246489395,38104.81701651733
BATIMENT0000000243399762,43758.27812808084
BATIMENT0000000243399761,3300.569672916545
BATIMENT0000000243399766,6990.400725291305
BATIMENT0000000243399770,867.4778281855711
BATIMENT0000000243399764,6187.421750469577
BATIMENT0000000243399965,26072.360489757397
BATIMENT0000000243399970,417110.8934375363
BATIMENT0000000243403665,248626.95082133025
BATIMENT0000000243403997,76829.1914167021
BATIMENT0000000243403719,52306.74339021954
BATIMENT0000000243403718,27998.287220160004
BATIMENT0000000243404073,866748.5494636846
BATIMENT0000000353684244,266447.37763404276
BATIMENT0000000318256621,706371.8412344045
BATIMENT0000002206299736,6125.262210835355
BATIMENT0000000353683847,219295.8000265672
BATIMENT0000000353683846,159524.81680050344
BATIMENT0000000353683842,80488.45220176503
BATIMENT0000000002670922,793190.3764561664
BATIMENT0000000002670922,793190.3764561664
BATIMENT0000000246488736,170599.40500116794
BATIMENT0000000246488735,120785.15726470163
BATIMENT0000000246487484,107351.56356466268
BATIMENT0000000246490818,25663.73794113638
BATIMENT0000000246490819,14467.887682111295
BATIMENT0000000246490981,4877.99537512715
BATIMENT0000000246493312,134156.59141559963
BATIMENT0000000318256795,169799.48305557328
BATIMENT0000000243401942,356863.0140768819
BATIMENT0000000243401947,3945.6022761783456
BATIMENT0000000243401948,353.75868863296046
BATIMENT0000000243401950,26664.404633340622
BATIMENT0000000243401951,34688.08033358453
BATIMENT0000000243401952,3923.1840800713476
BATIMENT0000000243401943,54872.6076777109
BATIMENT0000000318256611,528338.7666930965
BATIMENT0000000245745987,17392.443088418317
BATIMENT0000000245745985,1308.4073654254764
BATIMENT0000000245745984,761920.0518089689
BATIMENT0000000245745990,10980.839391442772
BATIMENT0000000245745991,83394.66545260795
BATIMENT0000000245745983,53354.28448909774
BATIMENT0000000245745993,40922.37649736667
BATIMENT0000000245745977,16822.81713618741
BATIMENT0000000245745976,91500.88086618499
BATIMENT0000000245746109,16290.894519689355
BATIMENT0000000245745996,6867.100652938539
BATIMENT0000000245745992,39986.92636531916
BATIMENT0000000245746110,91899.31334450818
BATIMENT0000000245745995,34512.81081333399
BATIMENT0000000245745997,2063.4929259006567
BATIMENT0000000245745988,11935.650684851978
BATIMENT0000000245745989,11035.865869639565
BATIMENT0000000245747145,129124.72570702393
BATIMENT0000000245747546,15750.81982537886
BATIMENT0000000245747547,7510.095243312091
BATIMENT0000000245747548,2450.716288720792
BATIMENT0000000245747549,6749.914635814506
BATIMENT0000000245747551,85131.05653210993
BATIMENT0000000245747555,234051.04820720377
BATIMENT0000000245747556,213.2806008895747
BATIMENT0000000245747558,9493.086464010934
BATIMENT0000000318256684,118187.70369446721
BATIMENT0000000245746453,176694.0969268867
BATIMENT0000000245746457,239185.83383189567
BATIMENT0000000245746461,616083.5809299744
BATIMENT0000000245746463,187792.12236229924
BATIMENT0000000245746468,1271.7230486098615
BATIMENT0000000245747964,45009.62099744462
BATIMENT0000000243404351,387194.83157028025
BATIMENT0000000243404350,39181.90937453804
BATIMENT0000000243404353,4448.992646222154
BATIMENT0000000243404352,77907.30278575043
BATIMENT0000000245586773,94635.35210153513
BATIMENT0000000245586773,94635.35210153513
BATIMENT0000000318256876,372327.492406661
BATIMENT0000000318256901,323759.49249822594
BATIMENT0000000245586776,9767.199845830204
BATIMENT0000000245586774,108497.94852253362
BATIMENT0000000245586775,89977.46263954893
BATIMENT0000000245586586,8433.317262669367
BATIMENT0000000245591296,42187.98548260617
BATIMENT0000000243404335,135986.731316009
BATIMENT0000000243405487,168011.12251284404
BATIMENT0000000243405487,168011.12251284404
BATIMENT0000000243404850,6733.610495963582
BATIMENT0000000243405491,56130.06460164168
BATIMENT0000000243404845,6439.116936149877
BATIMENT0000000243405494,24622.3108937108
BATIMENT0000000243405493,1849.5010662625077
BATIMENT0000000243405490,4299.198345324967
BATIMENT0000000243405496,2130.747509853749
BATIMENT0000000243405495,13018.857095718186
BATIMENT0000000243405784,18227.011338153217
BATIMENT0000000243405785,110422.8562427757
BATIMENT0000000246488105,279057.61218104436
BATIMENT0000000246488101,13418.308565332547
BATIMENT0000000246488104,922.8487532690277
BATIMENT0000000246488099,417218.90839461447
BATIMENT0000000246488106,997.7020415466526
BATIMENT0000000246488100,9426.85089228328
BATIMENT0000000246488103,13451.935856264568
BATIMENT0000000246488098,10756.657444458708
BATIMENT0000000353684112,315613.53572036646
BATIMENT0000000358380635,59941.157708409606
BATIMENT0000000246492717,148613.2700022598
BATIMENT0000000229473989,26764.267502399118
BATIMENT0000000229474041,28723.821524678082
BATIMENT0000000246492718,21892.386183787825
BATIMENT0000000246488966,684235.9119605378
BATIMENT0000000246488966,684235.9119605378
